FormalContext Collections
| |void setMutator(org.apache.commons.collections4.set.CompositeSet$SetMutator) |void addComposited([Ljava.util.Set;) |void addComposited(java.util.Set, java.util.Set) |void addComposited(java.util.Set) |void removeComposited(java.util.Set) |interface java.util.Set toSet() |interface java.util.List getSets() |boolean add(java.lang.Object) |boolean remove(java.lang.Object) |void clear() |boolean isEmpty() |boolean contains(java.lang.Object) |int size() |class [Ljava.lang.Object; toArray() |class [Ljava.lang.Object; toArray([Ljava.lang.Object;) |interface java.util.Iterator iterator() |boolean addAll(java.util.Collection) |boolean containsAll(java.util.Collection) |boolean removeAll(java.util.Collection) |boolean retainAll(java.util.Collection) |default interface java.util.Spliterator spliterator() |default interface java.util.stream.Stream stream() |default boolean removeIf(java.util.function.Predicate) |default interface java.util.stream.Stream parallelStream() |default void forEach(java.util.function.Consumer) |static class org.apache.commons.collections4.set.ListOrderedSet listOrderedSet(java.util.List) |static class org.apache.commons.collections4.set.ListOrderedSet listOrderedSet(java.util.Set) |static class org.apache.commons.collections4.set.ListOrderedSet listOrderedSet(java.util.Set, java.util.List) |void add(int, java.lang.Object) |class java.lang.Object remove(int) |class java.lang.Object get(int) |int indexOf(java.lang.Object) |interface org.apache.commons.collections4.OrderedIterator iterator() |boolean addAll(int, java.util.Collection) |interface java.util.List asList() |static class org.apache.commons.collections4.set.MapBackedSet mapBackedSet(java.util.Map) |static class org.apache.commons.collections4.set.MapBackedSet mapBackedSet(java.util.Map, java.lang.Object) |class java.lang.Object pollFirst() |class java.lang.Object pollLast() |interface java.util.Iterator descendingIterator() |class java.lang.Object higher(java.lang.Object) |interface java.util.NavigableSet descendingSet() |interface java.util.NavigableSet subSet(java.lang.Object, boolean, java.lang.Object, boolean) |interface java.util.NavigableSet headSet(java.lang.Object, boolean) |interface java.util.NavigableSet tailSet(java.lang.Object, boolean) |class java.lang.Object lower(java.lang.Object) |static class org.apache.commons.collections4.set.PredicatedNavigableSet predicatedNavigableSet(java.util.NavigableSet, org.apache.commons.collections4.Predicate) |class java.lang.Object ceiling(java.lang.Object) |class java.lang.Object floor(java.lang.Object) |class java.lang.Object last() |interface java.util.Comparator comparator() |interface java.util.SortedSet subSet(java.lang.Object, java.lang.Object) |interface java.util.SortedSet headSet(java.lang.Object) |interface java.util.SortedSet tailSet(java.lang.Object) |static class org.apache.commons.collections4.set.PredicatedSortedSet predicatedSortedSet(java.util.SortedSet, org.apache.commons.collections4.Predicate) |class java.lang.Object first() |static class org.apache.commons.collections4.set.PredicatedSet predicatedSet(java.util.Set, org.apache.commons.collections4.Predicate) |static class org.apache.commons.collections4.collection.PredicatedCollection$Builder builder(org.apache.commons.collections4.Predicate) |static class org.apache.commons.collections4.collection.PredicatedCollection$Builder notNullBuilder() |static class org.apache.commons.collections4.collection.PredicatedCollection predicatedCollection(java.util.Collection, org.apache.commons.collections4.Predicate) |static class org.apache.commons.collections4.set.TransformedNavigableSet transformingNavigableSet(java.util.NavigableSet, org.apache.commons.collections4.Transformer) |static class org.apache.commons.collections4.set.TransformedNavigableSet transformedNavigableSet(java.util.NavigableSet, org.apache.commons.collections4.Transformer) |static class org.apache.commons.collections4.set.TransformedSortedSet transformingSortedSet(java.util.SortedSet, org.apache.commons.collections4.Transformer) |static class org.apache.commons.collections4.set.TransformedSortedSet transformedSortedSet(java.util.SortedSet, org.apache.commons.collections4.Transformer) |static class org.apache.commons.collections4.set.TransformedSet transformingSet(java.util.Set, org.apache.commons.collections4.Transformer) |static interface java.util.Set transformedSet(java.util.Set, org.apache.commons.collections4.Transformer) |static class org.apache.commons.collections4.collection.TransformedCollection transformingCollection(java.util.Collection, org.apache.commons.collections4.Transformer) |static class org.apache.commons.collections4.collection.TransformedCollection transformedCollection(java.util.Collection, org.apache.commons.collections4.Transformer) |static interface java.util.NavigableSet unmodifiableNavigableSet(java.util.NavigableSet) |static interface java.util.Set unmodifiableSet(java.util.Set) |static interface java.util.SortedSet unmodifiableSortedSet(java.util.SortedSet) |
|org.apache.commons.collections4.set.CompositeSet|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||||||||||||||||||||||||||||||||
|org.apache.commons.collections4.set.ListOrderedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||||||||||||||||||||||
|org.apache.commons.collections4.set.MapBackedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||x|x|||||||||||||||||||||||||||||||||||
|org.apache.commons.collections4.set.PredicatedNavigableSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x||||||||||||
|org.apache.commons.collections4.set.PredicatedSortedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||||||||||x|x|x|x|x|x|x|x|x|x|x||||||||||||
|org.apache.commons.collections4.set.PredicatedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x||||||||||||||||||||||||||||||||x|x|x|x||||||||||||
|org.apache.commons.collections4.set.TransformedNavigableSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||x|x|x|x|x|x|x|x|x||x|x|x|x|x|x|x||x|||||x|x|x|x|x|x|x|x||||
|org.apache.commons.collections4.set.TransformedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x||||||||||||||||||||||||||||||||||||||||x|x|x|x||||
|org.apache.commons.collections4.set.TransformedSortedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||||||||||x|x|x|x|x||x|||||||x|x|x|x|x|x||||
|org.apache.commons.collections4.set.UnmodifiableNavigableSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||x|x|x|x|x|x|x|x|x||x|x|x|x|x|x|x||x|||||||||||||x|||
|org.apache.commons.collections4.set.UnmodifiableSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||||||||||||||||||||||||||||||x||
|org.apache.commons.collections4.set.UnmodifiableSortedSet||||||||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|||||||||||||||||||||||||x|x|x|x|x||x|||||||||||||||x|
